topology,timestep,method,reward,feat_PR,chosen_mlu,chosen_disturbance,pathopt_mlu,dqn_used,gnn_used,lpd_used,criticality_backend,heuristic_used,active_od_count,k_cap,initial_selected_k,final_selected_k,selected_k,k_escalation_used,k_escalation_steps,k_cap_hit,full_od_fallback_used,fallback_reason,selected_od_count,noncritical_count,noncritical_background_mode,ecmp_background_used,previous_background_used,full_od_lp_used,selected_od_lp_used,stage2_used,disturbance_finalization_used,random_forest_gate_used,sticky_gate_used,solver_backend,dqn_action,action,db_budget,decision_ms,lp_status
abilene,2016,gnn_lpd_dqn_selective_db_lp,-3.845262489823015,0.9910353758203698,0.040089375409548,0.1503986798887093,0.0397299892254053,1,1,1,gnn_lpd,0,131,32,30,30,30,0,0,0,0,none,30,101,ecmp,1,0,0,1,0,0,0,0,selected_od_db_budgeted_lp,OPTIMIZE_K30_DB_0.01,1,0.01,7.588375003251713,Optimal
abilene,2017,gnn_lpd_dqn_selective_db_lp,8.594083548839441,0.9999999999999981,0.039836828891308074,0.0033046789052545537,0.039836828891308,1,1,1,gnn_lpd,0,128,32,30,30,30,0,0,0,0,none,30,98,previous,0,1,0,1,0,0,0,0,selected_od_db_budgeted_lp,OPTIMIZE_K30_DB_0.01,1,0.01,6.776084002922289,Optimal
abilene,2018,gnn_lpd_dqn_selective_db_lp,2.7145507059425964,0.999999999999999,0.04631517279382435,0.03206869453520889,0.0463151727938243,1,1,1,gnn_lpd,0,130,32,30,130,130,0,0,0,1,pr_failed_after_k_cap,130,0,previous,0,1,1,0,0,0,0,0,full_od_db_budgeted_lp,OPTIMIZE_K30_DB_0.01,1,0.05,23.388458001136314,Optimal
abilene,2019,gnn_lpd_dqn_selective_db_lp,6.4743001540809235,0.9999999999999984,0.039979697434952666,0.003964142097225545,0.0399796974349526,1,1,1,gnn_lpd,0,130,32,32,32,32,0,0,1,0,none,32,98,previous,0,1,0,1,0,0,0,0,selected_od_db_budgeted_lp,OPTIMIZE_K40_DB_0.03,4,0.03,6.775583002308849,Optimal
abilene,2020,gnn_lpd_dqn_selective_db_lp,6.5946700571332855,0.9999999999999984,0.04099022118720196,0.003302738362221581,0.0409902211872019,1,1,1,gnn_lpd,0,131,32,30,30,30,0,0,0,0,none,30,101,previous,0,1,0,1,0,0,0,0,selected_od_db_budgeted_lp,OPTIMIZE_K30_DB_0.03,2,0.03,6.24779200006742,Optimal
abilene,2021,gnn_lpd_dqn_selective_db_lp,6.584037427665305,0.9999999999999994,0.04082648362063112,0.0036583051778146997,0.0408264836206311,1,1,1,gnn_lpd,0,131,32,30,30,30,0,0,0,0,none,30,101,previous,0,1,0,1,0,0,0,0,selected_od_db_budgeted_lp,OPTIMIZE_K30_DB_0.01,1,0.01,6.213417000253685,Optimal
abilene,2022,gnn_lpd_dqn_selective_db_lp,2.521327026547962,0.9999999999999996,0.05595009549550953,0.038523069948369904,0.0559500954955095,1,1,1,gnn_lpd,0,130,32,30,130,130,0,0,0,1,pr_failed_after_k_cap,130,0,previous,0,1,1,0,0,0,0,0,full_od_db_budgeted_lp,OPTIMIZE_K30_DB_0.01,1,0.05,22.980875000939704,Optimal
abilene,2023,gnn_lpd_dqn_selective_db_lp,6.499274279576469,0.9999999999999998,0.051425585291919214,0.0031324351140267583,0.0514255852919192,1,1,1,gnn_lpd,0,129,32,32,32,32,0,0,1,0,none,32,97,previous,0,1,0,1,0,0,0,0,selected_od_db_budgeted_lp,OPTIMIZE_K40_DB_0.03,4,0.03,6.75266700272914,Optimal
abilene,2024,gnn_lpd_dqn_selective_db_lp,-5.214786679083972,1.0,0.1131770696265683,0.10860617976757181,0.1131770696265683,1,1,1,gnn_lpd,0,132,33,30,132,132,0,0,0,1,pr_failed_after_k_cap,132,0,previous,0,1,1,0,0,0,0,0,full_od_db_budgeted_lp,OPTIMIZE_K30_DB_0.03,2,1.0,40.23050000250805,Optimal
abilene,2025,gnn_lpd_dqn_selective_db_lp,6.545893926334128,0.9999999999999994,0.05756715206098893,0.004906971888780705,0.0575671520609889,1,1,1,gnn_lpd,0,132,33,30,30,30,0,0,0,0,none,30,102,previous,0,1,0,1,0,0,0,0,selected_od_db_budgeted_lp,OPTIMIZE_K30_DB_0.01,1,0.01,6.896917002450209,Optimal
