cycle,timestamp,tm_method,expert,num_selected,lp_status,pre_mlu,post_mlu,decision_ms,rules_pushed
1,1773622877.401281,oracle,bottleneck,40,Optimal,0.10610775628217285,0.05180384772345637,677.6679589966079,13
2,1773622877.461518,oracle,bottleneck,40,Optimal,0.05126032917685206,0.050654839278194405,60.193167002580594,9
3,1773622877.5149791,oracle,bottleneck,40,Optimal,0.05202031184076804,0.0506142083218628,53.41329100338044,10
4,1773622877.5547059,oracle,bottleneck,40,Optimal,0.05450918317585396,0.05216492556282718,39.68233300111024,6
5,1773622877.593726,oracle,bottleneck,40,Optimal,0.05352092438860213,0.052539447289068716,38.97858400159748,8
6,1773622877.636986,oracle,bottleneck,40,Optimal,0.0534737423793775,0.05038837052451018,43.14133300067624,11
7,1773622877.6734111,oracle,bottleneck,40,Optimal,0.05417158419190479,0.046640787979534,36.38079200027278,11
8,1773622877.7136278,oracle,bottleneck,40,Optimal,0.049378678853291676,0.047074014817713415,40.165624996006954,6
9,1773622877.747823,oracle,bottleneck,40,Optimal,0.04759903925016879,0.046172231261698234,34.15349999704631,10
10,1773622877.78124,oracle,bottleneck,40,Optimal,0.052234756358322004,0.04758884486184833,33.375209000951145,9
11,1773622877.816691,oracle,bottleneck,40,Optimal,0.053648766409399716,0.0485686725412647,35.39850000379374,11
12,1773622877.84739,oracle,bottleneck,40,Optimal,0.05011913018355098,0.049351903487605306,30.653041001642123,5
13,1773622877.881312,oracle,bottleneck,40,Optimal,0.050226798725311786,0.04958295173294742,33.88333399925614,9
14,1773622877.9186828,oracle,bottleneck,40,Optimal,0.05282087263007932,0.048103094387623446,37.26633300539106,9
15,1773622877.9555001,oracle,bottleneck,40,Optimal,0.04969620452917074,0.0489575108488278,36.76033399824519,7
16,1773622877.990221,oracle,bottleneck,40,Optimal,0.05548524938673193,0.04914789847162835,34.616666998772416,6
17,1773622878.0229068,oracle,bottleneck,40,Optimal,0.04893544673840524,0.0483254745462119,32.642958001815714,5
18,1773622878.051161,oracle,bottleneck,40,Optimal,0.04925433138873437,0.04848974233542586,28.214625002874527,7
19,1773622878.07927,oracle,bottleneck,40,Optimal,0.050368483961750525,0.04809413943005745,28.068333995179273,10
20,1773622878.106837,oracle,bottleneck,40,Optimal,0.05489887411483531,0.047541916643781025,27.52337499987334,8
21,1773622878.132915,oracle,bottleneck,40,Optimal,0.0509411165860197,0.048138831074493016,26.03662500041537,10
22,1773622878.157612,oracle,bottleneck,40,Optimal,0.05022076299615169,0.049494186316026284,24.63266599806957,9
23,1773622878.185448,oracle,bottleneck,40,Optimal,0.053425926364927497,0.05104971135591038,27.79545800149208,8
