cycle,timestamp,tm_method,expert,num_selected,lp_status,pre_mlu,post_mlu,decision_ms,rules_pushed
1,1773622882.0139909,oracle,bottleneck,40,Optimal,0.4580899411519369,0.42917026420243676,29.984291999426205,23
2,1773622882.105825,oracle,bottleneck,40,Optimal,0.4355996964232236,0.43449194146110887,91.7635000005248,15
3,1773622882.142112,oracle,bottleneck,40,Optimal,0.43929582316873267,0.43852814150775377,36.20216599665582,11
4,1773622882.1784089,oracle,bottleneck,40,Optimal,0.4285824930244413,0.4244496735629872,36.19516600156203,16
5,1773622882.213074,oracle,bottleneck,40,Optimal,0.42527145130374994,0.4245530952489329,34.59358399413759,12
6,1773622882.2490351,oracle,bottleneck,40,Optimal,0.43953363225418524,0.4355091387008988,35.89533299964387,6
7,1773622882.283332,oracle,bottleneck,40,Optimal,0.4403045116298241,0.4310556642785207,34.223875001771376,9
8,1773622882.3183842,oracle,bottleneck,40,Optimal,0.43443515368814467,0.433417124563308,34.97841699572746,9
9,1773622882.352701,oracle,bottleneck,40,Optimal,0.43612173905438806,0.42914233669271523,34.24141700088512,8
10,1773622882.389487,oracle,bottleneck,40,Optimal,0.4237607773670237,0.42011237985057215,36.72270799870603,13
11,1773622882.4243999,oracle,bottleneck,40,Optimal,0.42154276499108545,0.4149359313058765,34.84708400355885,14
12,1773622882.4594162,oracle,bottleneck,40,Optimal,0.41564474366946835,0.4102664397645445,34.85450000152923,8
13,1773622882.495256,oracle,bottleneck,40,Optimal,0.4069311529449565,0.40612660529738,35.76199999952223,9
14,1773622882.527782,oracle,bottleneck,40,Optimal,0.4117703689263575,0.40098552436914364,32.45937500469154,6
15,1773622882.558963,oracle,bottleneck,40,Optimal,0.39894685015941644,0.39501797489265444,31.116499994823243,7
16,1773622882.58952,oracle,bottleneck,40,Optimal,0.38432236607019205,0.3810358672333766,30.488374999549706,7
17,1773622882.620437,oracle,bottleneck,40,Optimal,0.38137769660896204,0.37999274840394004,30.857915997330565,7
18,1773622882.6512809,oracle,bottleneck,40,Optimal,0.3734428665254359,0.3687812502804566,30.776374995184597,9
19,1773622882.683286,oracle,bottleneck,40,Optimal,0.36948392911562944,0.3668022663213144,31.94683299807366,9
20,1773622882.713794,oracle,bottleneck,40,Optimal,0.3520368614416356,0.34716735060524856,30.44337500614347,9
21,1773622882.74436,oracle,bottleneck,40,Optimal,0.35006104705521035,0.3482923441054333,30.49641699908534,8
22,1773622882.775064,oracle,bottleneck,40,Optimal,0.3432453177322691,0.3357954336588059,30.631084002379794,9
23,1773622882.805762,oracle,bottleneck,40,Optimal,0.34090616484718583,0.3390115179148019,30.63487500185147,12
24,1773622882.83856,oracle,bottleneck,40,Optimal,0.3300817133788479,0.3294209831470095,32.73858300235588,9
25,1773622882.869905,oracle,bottleneck,40,Optimal,0.3249138365214095,0.3200717967104776,31.28008299972862,13
26,1773622882.900748,oracle,bottleneck,40,Optimal,0.33889647011922414,0.3273139338036942,30.78312500292668,14
27,1773622882.93152,oracle,bottleneck,40,Optimal,0.32688198052817524,0.31870846051498763,30.713541003933642,10
28,1773622882.962198,oracle,bottleneck,40,Optimal,0.3208294151804202,0.32024846758758574,30.61916699516587,11
29,1773622882.992953,oracle,bottleneck,40,Optimal,0.31809704836952485,0.3168196289596938,30.691291998664383,10
30,1773622883.0236611,oracle,bottleneck,40,Optimal,0.3211042457790521,0.31913282760844297,30.60820799873909,15
31,1773622883.054125,oracle,bottleneck,40,Optimal,0.3175722399163568,0.3129096565846945,30.395875000976957,11
32,1773622883.083703,oracle,bottleneck,40,Optimal,0.31594169217338497,0.3108928066344779,29.513875000702683,12
33,1773622883.113305,oracle,bottleneck,40,Optimal,0.3200221252389324,0.3159139130240182,29.546957994170953,10
34,1773622883.143096,oracle,bottleneck,40,Optimal,0.3307301207456312,0.320065262820622,29.737541000940837,13
35,1773622883.1740181,oracle,bottleneck,40,Optimal,0.3260113375466665,0.32110272681270907,30.857083002047148,10
36,1773622883.204886,oracle,bottleneck,40,Optimal,0.3151970945858551,0.31485184711753844,30.79387500474695,11
37,1773622883.2350779,oracle,bottleneck,40,Optimal,0.320615717707617,0.315361962618461,30.125833000056446,15
38,1773622883.2668219,oracle,bottleneck,40,Optimal,0.32226870307648453,0.3186161810201455,31.683084001997486,13
39,1773622883.298087,oracle,bottleneck,40,Optimal,0.3214133496572843,0.3163488895745666,31.20208300242666,10
40,1773622883.328904,oracle,bottleneck,40,Optimal,0.33227961404302186,0.32911970255476763,30.755665997276083,15
41,1773622883.359786,oracle,bottleneck,40,Optimal,0.3205853180518212,0.31974401446564826,30.812624994723592,14
42,1773622883.391422,oracle,bottleneck,40,Optimal,0.324972644050798,0.32489954043808733,31.574291999277193,10
43,1773622883.420605,oracle,bottleneck,40,Optimal,0.3366374239423292,0.3309497679136815,29.116333003912587,8
44,1773622883.449535,oracle,bottleneck,40,Optimal,0.3365953513068454,0.331922306453864,28.872041999420617,8
45,1773622883.4784021,oracle,bottleneck,40,Optimal,0.33923100138071255,0.3333165435537559,28.809249997721054,13
46,1773622883.507931,oracle,bottleneck,40,Optimal,0.3390219733408155,0.3351064296962212,29.47395800583763,13
47,1773622883.5369642,oracle,bottleneck,40,Optimal,0.3413015308096646,0.33847861538448026,28.975165994779672,7
48,1773622883.565995,oracle,bottleneck,40,Optimal,0.35280590921507876,0.351092027487749,28.973665997909848,11
49,1773622883.5953321,oracle,bottleneck,40,Optimal,0.3637465552428293,0.35984702949554626,29.271082996274345,15
50,1773622883.624267,oracle,bottleneck,40,Optimal,0.374504007669014,0.3684158361483807,28.881416998046916,12
