cycle,timestamp,tm_method,expert,num_selected,lp_status,pre_mlu,post_mlu,decision_ms,rules_pushed
1,1773622884.548356,oracle,bottleneck,40,Optimal,1.269631763458252,1.0468232589721684,99.09016699384665,24
2,1773622884.6089642,oracle,bottleneck,40,Optimal,1.0216573090235392,1.046465424410502,60.45379100396531,6
3,1773622884.6687732,oracle,bottleneck,40,Optimal,1.0533271205902097,1.0439175434112549,59.66104099934455,6
4,1773622884.725295,oracle,bottleneck,40,Optimal,1.0698821491241455,1.0688439693450928,56.32537500059698,6
5,1773622884.782079,oracle,bottleneck,40,Optimal,1.0304497008005777,1.005657060877482,56.63250000361586,3
6,1773622884.83849,oracle,bottleneck,40,Optimal,0.9866194718678792,0.998295956548055,56.26470899733249,3
7,1773622884.902808,oracle,bottleneck,40,Optimal,1.0024998912811278,1.0319404918670652,64.17954100470524,4
8,1773622884.972608,oracle,bottleneck,40,Optimal,1.035191732597351,1.0146704053878783,69.60895900556352,4
9,1773622885.029141,oracle,bottleneck,40,Optimal,0.9779366873423258,0.9934517965952555,56.372541999735404,5
10,1773622885.0861518,oracle,bottleneck,40,Optimal,0.9997128908793133,0.9997128908793133,56.847166997613385,4
11,1773622885.141963,oracle,bottleneck,40,Optimal,0.9966372394561768,0.9826476825714111,55.64524999499554,3
12,1773622885.2365031,oracle,bottleneck,40,Optimal,0.9710449947357176,0.9807742725372313,94.3775409978116,3
13,1773622885.292043,oracle,bottleneck,40,Optimal,0.9660062940597532,0.9544894636154173,55.364333995385095,2
14,1773622885.349992,oracle,bottleneck,40,Optimal,0.9366115649541218,0.9482115725835162,57.78516700229375,2
15,1773622885.408336,oracle,bottleneck,40,Optimal,0.9300085745493573,0.9300085745493573,58.18875000113621,6
16,1773622885.465694,oracle,bottleneck,40,Optimal,0.90332047513326,0.8917536286671955,57.211416999052744,3
17,1773622885.522416,oracle,bottleneck,40,Optimal,0.8989492214838661,0.8989492214838661,56.55470800411422,1
18,1773622885.578636,oracle,bottleneck,40,Optimal,0.8664516350428264,0.8453012818018595,56.01604199910071,2
19,1773622885.6371078,oracle,bottleneck,40,Optimal,0.8223969014485676,0.8134826901753742,58.31233299977612,1
20,1773622885.693399,oracle,bottleneck,40,Optimal,0.8158495038350424,0.8328806210835775,56.15362500248011,4
21,1773622885.746528,oracle,bottleneck,40,Optimal,0.8119989684422811,0.8007058844884237,52.9791250010021,3
22,1773622885.801446,oracle,bottleneck,40,Optimal,0.7786944803873698,0.7595617571512858,54.77920799603453,1
23,1773622885.8558562,oracle,bottleneck,40,Optimal,0.726798889096578,0.7181279273351033,54.27220899582608,0
24,1773622885.9575932,oracle,bottleneck,40,Optimal,0.7166022424062092,0.7466838132222493,101.59516599378549,2
25,1773622886.0247612,oracle,bottleneck,40,Optimal,0.7443215418497722,0.7522203821818033,66.96954100334551,2
26,1773622886.1096451,oracle,bottleneck,40,Optimal,0.7553557573954265,0.7237814409891765,84.7057919963845,3
27,1773622886.170655,oracle,bottleneck,40,Optimal,0.7103187908808392,0.7257184246699017,60.831834001874086,1
28,1773622886.229577,oracle,bottleneck,40,Optimal,0.7259995290120441,0.7074665604909259,58.752584001922514,2
29,1773622886.297515,oracle,bottleneck,40,Optimal,0.7080636231740316,0.7155336816151937,67.77899999724468,1
30,1773622886.387595,oracle,bottleneck,40,Optimal,0.720424857711792,0.7187524662017822,89.82120800646953,3
31,1773622886.4535549,oracle,bottleneck,40,Optimal,0.6978375734329224,0.6967446302413941,65.68395900103496,0
32,1773622886.512021,oracle,bottleneck,40,Optimal,0.6934430289586385,0.7054248290379842,58.289000000513624,1
33,1773622886.5705972,oracle,bottleneck,40,Optimal,0.7033122795740765,0.7091689369837444,58.434334001503885,3
34,1773622886.630754,oracle,bottleneck,40,Optimal,0.7378226835886637,0.7064687216440836,60.00575000507524,2
35,1773622886.698686,oracle,bottleneck,40,Optimal,0.6948387245814007,0.7010765495936077,67.78420799673768,4
36,1773622886.7835178,oracle,bottleneck,40,Optimal,0.6979661326090495,0.6907954889933268,84.63395800208673,4
37,1773622886.9204009,oracle,bottleneck,40,Optimal,0.6890305990219117,0.694203194999695,136.4869590033777,1
38,1773622886.985791,oracle,bottleneck,40,Optimal,0.6964501884460448,0.7189517021179198,65.2382500047679,1
39,1773622887.078218,oracle,bottleneck,40,Optimal,0.7226803214391074,0.6976616774876914,92.26875000604196,3
40,1773622887.194279,oracle,bottleneck,40,Optimal,0.706521762339274,0.706521762339274,115.85483299859334,1
41,1773622887.290761,oracle,bottleneck,40,Optimal,0.7096633737564086,0.7243422525405884,96.28525000152877,2
42,1773622887.352094,oracle,bottleneck,40,Optimal,0.7227727923711139,0.7217997165044147,61.14033400081098,2
43,1773622887.4245062,oracle,bottleneck,40,Optimal,0.7392952066421509,0.7392952066421509,72.22787499631522,1
