cycle,timestamp,tm_method,expert,num_selected,lp_status,pre_mlu,post_mlu,decision_ms,rules_pushed
1,1773620519.313556,oracle,bottleneck,40,Optimal,0.10610775628217285,0.05180384772345637,55.200708004122134,13
2,1773620519.33718,oracle,bottleneck,40,Optimal,0.05126032917685206,0.050654839278194405,23.44762499706121,9
3,1773620519.360851,oracle,bottleneck,40,Optimal,0.05202031184076804,0.0506142083218628,23.506500001531094,10
4,1773620519.3840241,oracle,bottleneck,40,Optimal,0.05450918317585396,0.05216492556282718,23.037124999973457,6
5,1773620519.407944,oracle,bottleneck,40,Optimal,0.05352092438860213,0.052539447289068716,23.76166699832538,8
6,1773620519.432918,oracle,bottleneck,40,Optimal,0.0534737423793775,0.05038837052451018,24.829249996400904,11
7,1773620519.457309,oracle,bottleneck,40,Optimal,0.05417158419190479,0.046640787979534,24.256000004243106,11
8,1773620519.481549,oracle,bottleneck,40,Optimal,0.049378678853291676,0.047074014817713415,24.10745800443692,6
9,1773620519.506127,oracle,bottleneck,40,Optimal,0.04759903925016879,0.046172231261698234,24.45087499654619,10
10,1773620519.530742,oracle,bottleneck,40,Optimal,0.052234756358322004,0.04758884486184833,24.461332999635488,9
11,1773620519.5556018,oracle,bottleneck,40,Optimal,0.053648766409399716,0.0485686725412647,24.662374999024905,11
12,1773620519.580758,oracle,bottleneck,40,Optimal,0.05011913018355098,0.049351903487605306,25.018000000272878,5
13,1773620519.605581,oracle,bottleneck,40,Optimal,0.050226798725311786,0.04958295173294742,24.687334000191186,9
14,1773620519.6297019,oracle,bottleneck,40,Optimal,0.05282087263007932,0.048103094387623446,23.986874999536667,9
15,1773620519.65431,oracle,bottleneck,40,Optimal,0.04969620452917074,0.0489575108488278,24.45441700547235,7
16,1773620519.6798432,oracle,bottleneck,40,Optimal,0.05548524938673193,0.04914789847162835,25.37708399904659,6
17,1773620519.7051148,oracle,bottleneck,40,Optimal,0.04893544673840524,0.0483254745462119,25.118458004726563,5
18,1773620519.730962,oracle,bottleneck,40,Optimal,0.04925433138873437,0.04848974233542586,25.68208299635444,7
19,1773620519.755719,oracle,bottleneck,40,Optimal,0.050368483961750525,0.04809413943005745,24.618458999611903,10
20,1773620519.781076,oracle,bottleneck,40,Optimal,0.05489887411483531,0.047541916643781025,25.200750002113637,8
21,1773620519.8058372,oracle,bottleneck,40,Optimal,0.0509411165860197,0.048138831074493016,24.575374998676125,10
22,1773620519.831373,oracle,bottleneck,40,Optimal,0.05022076299615169,0.049494186316026284,25.40183400560636,9
23,1773620519.856282,oracle,bottleneck,40,Optimal,0.053425926364927497,0.05104971135591038,24.770167001406662,8
24,1773620519.881162,oracle,bottleneck,40,Optimal,0.05643644486737555,0.05098047730432105,24.734124999667984,9
25,1773620519.9058712,oracle,bottleneck,40,Optimal,0.05867024800170987,0.05013997671368608,24.53658300510142,9
26,1773620519.930642,oracle,bottleneck,40,Optimal,0.05183092763278483,0.051674227974589516,24.60179199988488,10
27,1773620519.954977,oracle,bottleneck,40,Optimal,0.05094488955489649,0.049477232570809326,24.194792000344023,9
28,1773620519.979753,oracle,bottleneck,40,Optimal,0.050850290382844145,0.05002744610734831,24.616417002107482,10
29,1773620520.003839,oracle,bottleneck,40,Optimal,0.0514402473073688,0.050895901125300125,23.93112500431016,7
30,1773620520.028834,oracle,bottleneck,40,Optimal,0.05528279947536924,0.050349980793661764,24.84787499997765,11
31,1773620520.0536551,oracle,bottleneck,40,Optimal,0.05885282610075342,0.052434170953074705,24.689666999620385,7
32,1773620520.077611,oracle,bottleneck,40,Optimal,0.05353041516768899,0.05170775493456305,23.819917005312163,8
33,1773620520.101772,oracle,bottleneck,40,Optimal,0.06438374098358521,0.05221345928832164,24.0030420027324,11
34,1773620520.125867,oracle,bottleneck,40,Optimal,0.0546952259291869,0.05430965581383279,23.94191700295778,10
35,1773620520.1502059,oracle,bottleneck,40,Optimal,0.055885134406016536,0.05485124729831106,24.199082996346988,8
36,1773620520.174353,oracle,bottleneck,40,Optimal,0.06503522962847477,0.05514340919137127,23.999375000130385,10
37,1773620520.198328,oracle,bottleneck,40,Optimal,0.058522928517407806,0.05811999925573239,23.801084003935102,7
38,1773620520.223547,oracle,bottleneck,40,Optimal,0.05836478601619367,0.056574069996325714,25.074042001506314,9
39,1773620520.247961,oracle,bottleneck,40,Optimal,0.062035097383202155,0.060219050271745796,24.274790994240902,6
40,1773620520.272386,oracle,bottleneck,40,Optimal,0.06313585685314148,0.05932145421232081,24.290166998980567,5
41,1773620520.296318,oracle,bottleneck,40,Optimal,0.06079219763675045,0.05995605930167035,23.767416998452973,7
42,1773620520.320281,oracle,bottleneck,40,Optimal,0.06585019322309986,0.06205240686385534,23.807167002814822,8
43,1773620520.3453991,oracle,bottleneck,40,Optimal,0.06598729487415482,0.0575866234517591,24.979791000077967,10
44,1773620520.37045,oracle,bottleneck,40,Optimal,0.07554650117400617,0.05520133802810569,24.90958300040802,9
45,1773620520.394151,oracle,bottleneck,40,Optimal,0.06003111301178234,0.057614930793541574,23.573999998916406,11
46,1773620520.418331,oracle,bottleneck,40,Optimal,0.06096298294760891,0.059147212883569375,24.03120800590841,5
47,1773620520.442358,oracle,bottleneck,40,Optimal,0.06173915201357153,0.059605503290772924,23.89608399971621,6
48,1773620520.46705,oracle,bottleneck,40,Optimal,0.06144023290591281,0.05830233650951231,24.55845799704548,7
49,1773620520.490999,oracle,bottleneck,40,Optimal,0.063164014043589,0.05732014368396448,23.800208000466228,8
50,1773620520.514976,oracle,bottleneck,40,Optimal,0.05860670073349899,0.056672671148141736,23.833416002162267,8
51,1773620520.539346,oracle,bottleneck,40,Optimal,0.060490751146781395,0.055905283743695744,24.236833000031766,8
52,1773620520.563272,oracle,bottleneck,40,Optimal,0.05642305252307972,0.05597660161653886,23.79862499947194,7
53,1773620520.587502,oracle,bottleneck,40,Optimal,0.060465182905086165,0.05572342390435274,24.07333300652681,10
54,1773620520.6121202,oracle,bottleneck,40,Optimal,0.06693787794086362,0.056629696324209694,24.455833998217713,11
55,1773620520.636682,oracle,bottleneck,40,Optimal,0.06438315195635617,0.05645411357143646,24.426625001069624,10
56,1773620520.66123,oracle,bottleneck,40,Optimal,0.059473897105542003,0.05843947630272046,24.412583996308967,7
57,1773620520.6856818,oracle,bottleneck,40,Optimal,0.06095360309743012,0.058235894387273446,24.287207997986116,9
58,1773620520.7102,oracle,bottleneck,40,Optimal,0.06358843280385877,0.05852230129491538,24.366375000681728,10
59,1773620520.734742,oracle,bottleneck,40,Optimal,0.06683564725308305,0.059293375658208976,24.385083001106977,8
60,1773620520.759177,oracle,bottleneck,40,Optimal,0.06857551864413257,0.06093054543655203,24.29433400538983,4
61,1773620520.7828228,oracle,bottleneck,40,Optimal,0.06936294475946875,0.060603349188767676,23.511209001298994,7
62,1773620520.80655,oracle,bottleneck,40,Optimal,0.06468537022827389,0.06273314000341558,23.58749999984866,8
63,1773620520.830963,oracle,bottleneck,40,Optimal,0.06597918188841889,0.0610114920003479,24.28087500447873,8
64,1773620520.8553889,oracle,bottleneck,40,Optimal,0.06446843362222789,0.06173350131175055,24.29008299804991,4
65,1773620520.878892,oracle,bottleneck,40,Optimal,0.06509196175772092,0.06071090222987801,23.345583998889197,5
66,1773620520.902861,oracle,bottleneck,40,Optimal,0.062130376054644595,0.06123650975294555,23.82762500201352,5
67,1773620520.926913,oracle,bottleneck,40,Optimal,0.06814605440419837,0.06146360644941184,23.91429200361017,6
68,1773620520.950939,oracle,bottleneck,40,Optimal,0.06277173706286844,0.057685846096307954,23.89495800161967,6
69,1773620520.974258,oracle,bottleneck,40,Optimal,0.05749427226853691,0.057055773950006466,23.18412499880651,7
