cycle,timestamp,tm_method,expert,num_selected,lp_status,pre_mlu,post_mlu,decision_ms,rules_pushed
1,1773620521.2463,oracle,bottleneck,40,Optimal,0.2448371664971579,0.13821670119355733,30.566000001272187,23
2,1773620521.27602,oracle,bottleneck,40,Optimal,0.13559427571929988,0.13497622174754306,29.554791006376036,11
3,1773620521.305705,oracle,bottleneck,40,Optimal,0.13489464683799274,0.13157152194625704,29.51329200004693,6
4,1773620521.334539,oracle,bottleneck,40,Optimal,0.13330530822421274,0.13378378542473676,28.681666000920814,8
5,1773620521.36391,oracle,bottleneck,40,Optimal,0.1344291594623633,0.13244557825746198,29.199416996561922,10
6,1773620521.3929589,oracle,bottleneck,40,Optimal,0.13000343807424727,0.1295736622527817,28.892374997667503,12
7,1773620521.422245,oracle,bottleneck,40,Optimal,0.12895255647979056,0.12747414169473503,29.125166998710483,11
8,1773620521.451482,oracle,bottleneck,40,Optimal,0.1312993526829639,0.12746126106871997,29.075249993184116,6
9,1773620521.481159,oracle,bottleneck,40,Optimal,0.1311762708396642,0.12771757437489042,29.49291699769674,8
10,1773620521.510575,oracle,bottleneck,40,Optimal,0.1295592809560318,0.12789141171567364,29.210500004410278,6
11,1773620521.539362,oracle,bottleneck,40,Optimal,0.12981182054955262,0.12532646120401528,28.62370799994096,8
12,1773620521.567873,oracle,bottleneck,40,Optimal,0.12716614468597526,0.12442054759204176,28.35816600418184,10
13,1773620521.596277,oracle,bottleneck,40,Optimal,0.12727818819276396,0.12403214710844852,28.246333000424784,3
14,1773620521.624671,oracle,bottleneck,40,Optimal,0.12953309535016141,0.1235187823433233,28.238416998647153,10
15,1773620521.653057,oracle,bottleneck,40,Optimal,0.12628243814575676,0.12365454963383961,28.217042003234383,2
16,1773620521.681182,oracle,bottleneck,40,Optimal,0.11968291740117666,0.120171177731574,27.964624998276122,9
17,1773620521.709226,oracle,bottleneck,40,Optimal,0.1269782109811778,0.12265602309235168,27.888040996913332,8
18,1773620521.737808,oracle,bottleneck,40,Optimal,0.1273180388100797,0.12582622600768192,28.429875004803762,9
19,1773620521.766449,oracle,bottleneck,40,Optimal,0.1262092503409232,0.12220475113458026,28.476749997935258,12
20,1773620521.7944572,oracle,bottleneck,40,Optimal,0.1274050960865367,0.12465260399805038,27.837000001454726,10
21,1773620521.82307,oracle,bottleneck,40,Optimal,0.12583622584719178,0.12449772395926287,28.426582997781225,15
22,1773620521.852129,oracle,bottleneck,40,Optimal,0.1297491371285511,0.12898363223871928,28.87479099445045,12
23,1773620521.881846,oracle,bottleneck,40,Optimal,0.13277913764386137,0.13261944615752463,29.55604199814843,2
24,1773620521.9120839,oracle,bottleneck,40,Optimal,0.1355660649986706,0.13543689489502792,30.065499995544087,7
25,1773620521.941961,oracle,bottleneck,40,Optimal,0.1432905321959068,0.1390471520897865,29.718833000515588,6
26,1773620521.9718819,oracle,bottleneck,40,Optimal,0.14497488354673843,0.14289251291975644,29.765041996142827,3
27,1773620522.000606,oracle,bottleneck,40,Optimal,0.1560128686311585,0.14499657381120692,28.554750002513174,4
28,1773620522.028916,oracle,bottleneck,40,Optimal,0.15377119504582545,0.15091244008453417,28.152791994216386,4
29,1773620522.057896,oracle,bottleneck,40,Optimal,0.1559246001617657,0.15380504520405866,28.805290996388067,5
30,1773620522.128968,oracle,bottleneck,40,Optimal,0.15853037709339704,0.1574947069887974,70.90025000070455,11
31,1773620522.158405,oracle,bottleneck,40,Optimal,0.16021943000981254,0.1582731713209287,29.30108400323661,11
32,1773620522.187445,oracle,bottleneck,40,Optimal,0.16245851585346588,0.16142743928638542,28.889875000459142,14
33,1773620522.217104,oracle,bottleneck,40,Optimal,0.17155959503042179,0.15979566467413217,29.49787500256207,15
34,1773620522.2466931,oracle,bottleneck,40,Optimal,0.17188875511401944,0.1681963552405209,29.409499999019317,17
35,1773620522.2761269,oracle,bottleneck,40,Optimal,0.1709738608829656,0.1696315069505579,29.26712499902351,18
36,1773620522.3059468,oracle,bottleneck,40,Optimal,0.17293852280452146,0.17191266302310448,29.654958001628984,11
37,1773620522.3356779,oracle,bottleneck,40,Optimal,0.17776257457750258,0.17455596167903564,29.583708004793152,7
38,1773620522.365458,oracle,bottleneck,40,Optimal,0.17838421479606897,0.17327298052487988,29.614624996611383,10
39,1773620522.395092,oracle,bottleneck,40,Optimal,0.17485070261381042,0.17136399664917598,29.45158299553441,10
40,1773620522.424803,oracle,bottleneck,40,Optimal,0.17426099891302482,0.17288631440412824,29.55633300007321,14
41,1773620522.4550421,oracle,bottleneck,40,Optimal,0.18166467303532838,0.17529087708562727,30.056625000725035,11
