cycle,timestamp,tm_method,expert,num_selected,lp_status,pre_mlu,post_mlu,decision_ms,rules_pushed
1,1773620526.143285,oracle,bottleneck,40,Optimal,1269.631763458252,1046.8232589721683,53.09408400353277,24
2,1773620526.1951501,oracle,bottleneck,40,Optimal,1021.6573090235391,1046.465424410502,51.625790998514276,6
3,1773620526.2478652,oracle,bottleneck,40,Optimal,1053.3271205902097,1043.9175434112549,52.46837499726098,6
4,1773620526.299915,oracle,bottleneck,40,Optimal,1069.8821491241456,1068.843969345093,51.80866699811304,6
5,1773620526.351825,oracle,bottleneck,40,Optimal,1030.4497008005778,1005.6570608774821,51.646375002746936,3
6,1773620526.40475,oracle,bottleneck,40,Optimal,986.6194718678793,998.2959565480551,52.68804200022714,3
7,1773620526.4563599,oracle,bottleneck,40,Optimal,1002.4998912811277,1031.9404918670652,51.370583998505026,4
8,1773620526.508522,oracle,bottleneck,40,Optimal,1035.1917325973511,1014.6704053878784,51.92137500125682,4
9,1773620526.560684,oracle,bottleneck,40,Optimal,977.9366873423257,993.4517965952555,51.91691700019874,5
10,1773620526.6129348,oracle,bottleneck,40,Optimal,999.7128908793132,999.7128908793132,52.017665999301244,4
11,1773620526.665131,oracle,bottleneck,40,Optimal,996.6372394561768,982.6476825714111,51.95316699973773,3
12,1773620526.716651,oracle,bottleneck,40,Optimal,971.0449947357176,980.7742725372312,51.28037500253413,3
13,1773620526.769602,oracle,bottleneck,40,Optimal,966.0062940597533,954.4894636154173,52.69583400513511,2
14,1773620526.823126,oracle,bottleneck,40,Optimal,936.6115649541218,948.2115725835162,53.27416700311005,2
15,1773620526.876041,oracle,bottleneck,40,Optimal,930.0085745493573,930.0085745493573,52.65512500045588,6
16,1773620526.92962,oracle,bottleneck,40,Optimal,903.32047513326,891.7536286671955,53.339167003287,3
17,1773620526.983374,oracle,bottleneck,40,Optimal,898.9492214838662,898.9492214838662,53.503916002227925,1
18,1773620527.037769,oracle,bottleneck,40,Optimal,866.4516350428264,845.3012818018594,54.124416994454805,2
19,1773620527.09146,oracle,bottleneck,40,Optimal,822.3969014485676,813.4826901753743,53.4328749999986,1
20,1773620527.144802,oracle,bottleneck,40,Optimal,815.8495038350424,832.8806210835776,53.06199999904493,4
21,1773620527.19856,oracle,bottleneck,40,Optimal,811.9989684422811,800.7058844884237,53.53037500026403,3
22,1773620527.252074,oracle,bottleneck,40,Optimal,778.6944803873698,759.5617571512859,53.21958299464313,1
23,1773620527.30588,oracle,bottleneck,40,Optimal,726.7988890965779,718.1279273351033,53.5580830037361,0
24,1773620527.3596191,oracle,bottleneck,40,Optimal,716.6022424062091,746.6838132222493,53.493334002268966,2
25,1773620527.41359,oracle,bottleneck,40,Optimal,744.3215418497722,752.2203821818033,53.72216700197896,2
26,1773620527.4687,oracle,bottleneck,40,Optimal,755.3557573954265,723.7814409891764,54.85045800014632,3
27,1773620527.523964,oracle,bottleneck,40,Optimal,710.3187908808392,725.7184246699017,54.98329200054286,1
28,1773620527.578225,oracle,bottleneck,40,Optimal,725.9995290120441,707.466560490926,54.005707999749575,2
29,1773620527.6319711,oracle,bottleneck,40,Optimal,708.0636231740316,715.5336816151937,53.453708002052736,1
30,1773620527.686198,oracle,bottleneck,40,Optimal,720.424857711792,718.7524662017822,53.9697080021142,3
31,1773620527.741225,oracle,bottleneck,40,Optimal,697.8375734329223,696.7446302413941,54.752290998294484,0
32,1773620527.796042,oracle,bottleneck,40,Optimal,693.4430289586386,705.4248290379842,54.51708399777999,1
