cycle,timestamp,tm_method,expert,num_selected,lp_status,pre_mlu,post_mlu,decision_ms,rules_pushed
1,1773620530.381387,oracle,bottleneck,40,Optimal,998.8663949330646,983.5598646799723,62.447999996948056,32
2,1773620530.443155,oracle,bottleneck,40,Optimal,987.7494833312794,982.0656423568722,61.4707919958164,11
3,1773620530.506986,oracle,bottleneck,40,Optimal,973.4078259723553,957.2952187082783,63.559750000422355,12
4,1773620530.569247,oracle,bottleneck,40,Optimal,973.0936408360798,947.0404979273438,61.99391699919943,11
5,1773620530.6309912,oracle,bottleneck,40,Optimal,948.8924221782661,943.1836753209427,61.46716699731769,13
6,1773620530.6909661,oracle,bottleneck,40,Optimal,940.1382964099696,930.1897302964792,59.72312500671251,13
7,1773620530.7518668,oracle,bottleneck,40,Optimal,920.1395915985104,893.216306686401,60.6182909978088,13
8,1773620530.811362,oracle,bottleneck,40,Optimal,882.0976510365805,905.9921502431234,59.221250005066395,8
9,1773620530.871139,oracle,bottleneck,40,Optimal,891.329703801142,885.6642686208091,59.507208003196865,11
10,1773620530.930225,oracle,bottleneck,40,Optimal,894.9926061630251,868.9162389755251,58.80458300089231,13
11,1773620530.990293,oracle,bottleneck,40,Optimal,851.4995759328207,861.288714726766,59.795542001666036,10
12,1773620531.050637,oracle,bottleneck,40,Optimal,848.2615633860835,856.6377470652263,60.02574999729404,10
13,1773620531.110034,oracle,bottleneck,40,Optimal,842.9748943342254,822.896750089891,59.09662500198465,12
14,1773620531.214145,oracle,bottleneck,40,Optimal,812.9807376861571,816.1875980071287,103.84295899712015,5
15,1773620531.2745101,oracle,bottleneck,40,Optimal,811.6470535126755,790.300795809428,60.11929200030863,14
16,1773620531.335022,oracle,bottleneck,40,Optimal,780.3056135813395,780.3056135813395,60.21895899903029,15
17,1773620531.397106,oracle,bottleneck,40,Optimal,777.9915539722302,769.6454162058377,61.80879200110212,10
18,1773620531.4590762,oracle,bottleneck,40,Optimal,749.7516849517822,749.7516849517822,61.67020899738418,15
19,1773620531.520483,oracle,bottleneck,40,Optimal,754.2446916898092,718.9707683840713,61.132917006034404,9
20,1773620531.581713,oracle,bottleneck,40,Optimal,701.2736514409386,701.2736514409386,60.89625000458909,13
21,1773620531.643126,oracle,bottleneck,40,Optimal,689.8285355250041,681.6382604598999,61.13487499533221,8
22,1773620531.705122,oracle,bottleneck,40,Optimal,667.4634785970052,673.4392171223958,61.72520799736958,15
23,1773620531.767225,oracle,bottleneck,40,Optimal,669.7113214492799,661.3292024612427,61.80583300010767,13
24,1773620531.829474,oracle,bottleneck,40,Optimal,650.6536654154459,642.8241742451985,61.946750000061,13
25,1773620531.890929,oracle,bottleneck,40,Optimal,637.9529613494872,652.4102748870848,61.17241700121667,10
26,1773620531.9525278,oracle,bottleneck,40,Optimal,652.6387785593669,635.8160154978434,61.33399999816902,10
27,1773620532.014679,oracle,bottleneck,40,Optimal,629.7427489598591,616.0836028416952,61.86399999569403,14
28,1773620532.076224,oracle,bottleneck,40,Optimal,617.732744661967,644.2637352625529,61.27095799456583,11
29,1773620532.138134,oracle,bottleneck,40,Optimal,640.961905225118,626.7549706141155,61.64308299776167,17
30,1773620532.2469099,oracle,bottleneck,40,Optimal,632.9582416534424,619.9819083531697,108.50183299771743,10
31,1773620532.3089468,oracle,bottleneck,40,Optimal,618.6998121261597,625.2184812545776,61.79474999953527,8
32,1773620532.370618,oracle,bottleneck,40,Optimal,618.9425580978394,618.9425580978394,61.37533400033135,13
33,1773620532.431875,oracle,bottleneck,40,Optimal,620.793153826396,615.0258015331226,60.94087500241585,13
34,1773620532.4932868,oracle,bottleneck,40,Optimal,627.6459163041775,633.6823873202005,61.14020899985917,3
35,1773620532.55511,oracle,bottleneck,40,Optimal,631.1155064900715,619.2867160161338,61.51737499749288,13
36,1773620532.6171992,oracle,bottleneck,40,Optimal,623.5123052484739,622.5914832542014,61.81083300180035,16
37,1773620532.679059,oracle,bottleneck,40,Optimal,642.7387765469582,630.6190126419068,61.54541599971708,8
38,1773620532.740971,oracle,bottleneck,40,Optimal,641.6253772735597,641.6253772735597,61.637667000468355,10
39,1773620532.801486,oracle,bottleneck,40,Optimal,648.4305313746136,666.4550390243531,60.234833996219095,13
40,1773620532.861456,oracle,bottleneck,40,Optimal,673.3659566879275,662.3048797607421,59.69958300556755,13
41,1773620532.922127,oracle,bottleneck,40,Optimal,668.1521067937216,665.4796691258747,60.40220800059615,12
42,1773620532.981898,oracle,bottleneck,40,Optimal,669.977284495036,681.9333423614503,59.52020800032187,11
43,1773620533.0454621,oracle,bottleneck,40,Optimal,693.3021814346309,693.3021814346309,63.28679199941689,12
44,1773620533.104943,oracle,bottleneck,40,Optimal,696.8519936243695,717.2306317647298,59.21466700237943,12
45,1773620533.208386,oracle,bottleneck,40,Optimal,741.2010354359943,714.3113693237304,103.14979199756635,16
46,1773620533.269866,oracle,bottleneck,40,Optimal,723.6528539657593,723.6528539657593,61.18770899774972,13
